card_variant_id,candidate_market_product_pk,has_price_via_overlay,notes,mpr_market_price,mpr_mid_price,mpr_low_price,mpr_high_price,mpr_direct_low_price,mpr_listed_median_price,captured_at,subtype_name,source_name,mpr_row_id
4051,4829,1,at_least_one_price_column_non_null,0.16,0.22,0.01,5.0,,,2026-04-02 03:06:21,Foil,tcgcsv,4685
4064,4830,1,at_least_one_price_column_non_null,0.37,0.55,0.11,10.0,,,2026-04-02 03:06:21,Foil,tcgcsv,4686
4070,4169,1,at_least_one_price_column_non_null,67.77,86.0,58.3,500.0,,,2026-04-02 03:06:20,Foil,tcgcsv,3996
4071,4831,1,at_least_one_price_column_non_null,0.13,0.19,0.01,2.73,,,2026-04-02 03:06:21,Foil,tcgcsv,4687
4072,3600,1,at_least_one_price_column_non_null,0.12,0.2,0.01,5.0,,,2026-04-02 03:06:19,Foil,tcgcsv,3427
4075,4186,1,at_least_one_price_column_non_null,0.02,0.1,0.01,1.29,,,2026-04-02 03:06:20,Normal,tcgcsv,4013
4080,3603,1,at_least_one_price_column_non_null,0.12,0.2,0.04,2.0,,,2026-04-02 03:06:19,Normal,tcgcsv,3430
4084,3605,1,at_least_one_price_column_non_null,12.55,14.5,10.8,40.0,,,2026-04-02 03:06:19,Foil,tcgcsv,3432
4085,3605,1,at_least_one_price_column_non_null,12.55,14.5,10.8,40.0,,,2026-04-02 03:06:19,Foil,tcgcsv,3432
4087,4833,1,at_least_one_price_column_non_null,1.06,1.18,0.25,10.0,,,2026-04-02 03:06:21,Foil,tcgcsv,4689
4091,4187,1,at_least_one_price_column_non_null,0.03,0.1,0.01,1.32,,,2026-04-02 03:06:20,Normal,tcgcsv,4014
4094,3607,1,at_least_one_price_column_non_null,0.08,0.15,0.01,2.0,,,2026-04-02 03:06:19,Normal,tcgcsv,3434
4095,3607,1,at_least_one_price_column_non_null,0.08,0.15,0.01,2.0,,,2026-04-02 03:06:19,Normal,tcgcsv,3434
4096,3607,1,at_least_one_price_column_non_null,0.08,0.15,0.01,2.0,,,2026-04-02 03:06:19,Normal,tcgcsv,3434
4097,3607,1,at_least_one_price_column_non_null,0.08,0.15,0.01,2.0,,,2026-04-02 03:06:19,Normal,tcgcsv,3434
4098,4188,1,at_least_one_price_column_non_null,0.05,0.1,0.01,1.41,,,2026-04-02 03:06:20,Normal,tcgcsv,4015
4101,4189,1,at_least_one_price_column_non_null,0.03,0.1,0.01,1.32,,,2026-04-02 03:06:20,Normal,tcgcsv,4016
4104,3609,1,at_least_one_price_column_non_null,0.09,0.2,0.02,5.0,,,2026-04-02 03:06:19,Foil,tcgcsv,3436
4105,4433,1,at_least_one_price_column_non_null,43.5,46.13,41.23,199.99,,,2026-04-02 03:06:20,Foil,tcgcsv,4260
4106,4190,1,at_least_one_price_column_non_null,0.06,0.1,0.01,1.3,,,2026-04-02 03:06:20,Normal,tcgcsv,4017
4107,3609,1,at_least_one_price_column_non_null,0.09,0.2,0.02,5.0,,,2026-04-02 03:06:19,Foil,tcgcsv,3436
4112,3610,1,at_least_one_price_column_non_null,0.07,0.15,0.01,2.0,,,2026-04-02 03:06:19,Normal,tcgcsv,3437
