card_variant_id,card_canonical_code,card_name,candidate_market_product_pk,candidate_market_product_external_id,match_score,match_reasons,match_confidence,needs_manual_review,cv_variant_key,cv_variant_label,cv_print_id,cv_image_path
4933,OP11-041,Nami,4067,632405,101,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;parallel_variant_no_parallel_market_penalty;card_name_substring_product;source_tcgcsv,low,1,parallel_2,Parallel 2,OP11-041_p2,_unclassified/parallel/OP11-041_p2.png
4934,OP11-041,Nami,4067,632405,113,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;card_name_substring_product;source_tcgcsv,low,1,promo,Premium,OP11-041::premium,thumbs/OP11-041(Premium).webp
4948,OP11-047,Vinsmoke Reiju,4074,632412,101,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;parallel_variant_no_parallel_market_penalty;card_name_substring_product;source_tcgcsv,low,1,parallel_1,Parallel 1,OP11-047_p1,OP11/parallel/OP11-047_p1.png
4960,OP11-051,Sanji,4079,632417,101,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;parallel_variant_no_parallel_market_penalty;card_name_substring_product;source_tcgcsv,low,1,parallel_1,Parallel 1,OP11-051_p1,OP11/parallel/OP11-051_p1.png
4967,OP11-054,Nami,4083,632421,113,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;card_name_substring_product;source_tcgcsv,low,1,promo,3Rdann,OP11-054::3rdann,thumbs/OP11-054(3rdAnn).webp
4969,OP11-054,Nami,4083,632421,113,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;card_name_substring_product;source_tcgcsv,low,1,promo,Cn3Rdann,OP11-054::cn3rdann,thumbs/OP11-054(CN3rdAnn).webp
4970,OP11-054,Nami,4083,632421,101,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;parallel_variant_no_parallel_market_penalty;card_name_substring_product;source_tcgcsv,low,1,parallel_1,Parallel 1,OP11-054_p1,OP11/parallel/OP11-054_p1.png
4971,OP11-054,Nami,4083,632421,101,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;parallel_variant_no_parallel_market_penalty;card_name_substring_product;source_tcgcsv,low,1,parallel_2,Parallel 2,OP11-054_p2,ANN3JP/parallel/OP11-054_p2.png
4994,OP11-062,Charlotte Katakuri,4092,632430,101,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;parallel_variant_no_parallel_market_penalty;card_name_substring_product;source_tcgcsv,low,1,parallel_1,Parallel 1,OP11-062_p1,OP11/parallel/OP11-062_p1.png
5006,OP11-067,Charlotte Katakuri,4098,632436,113,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;card_name_substring_product;source_tcgcsv,low,1,promo,3Rdann,OP11-067::3rdann,thumbs/OP11-067(3rdAnn).webp
5008,OP11-067,Charlotte Katakuri,4098,632436,101,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;parallel_variant_no_parallel_market_penalty;card_name_substring_product;source_tcgcsv,low,1,parallel_1,Parallel 1,OP11-067_p1,OP11/parallel/OP11-067_p1.png
