provenance_folder,card_code,source_url,derived_full_local_path,refresh_status,bytes_written,failure_reason,source_lane,was_protected_skip
ST06,ST06-012,https://en.onepiece-cardgame.com/images/cardlist/card/ST06-012.png,D:\Miru_Assets\ST06\alt\ST06-012_alt.png,HELD_UNAPPROVED_SOURCE,0,Bandai CDN URL is base-code only; not variant-aware for family=alt. Fetching would write wrong image.,BANDAI_CDN_BASE_MISMATCH,no
ST06,ST06-013,https://en.onepiece-cardgame.com/images/cardlist/card/ST06-013.png,D:\Miru_Assets\ST06\base\ST06-013.png,SKIPPED_ALREADY_PRESENT,0,,BANDAI_CDN_BASE,no
ST06,ST06-014,https://en.onepiece-cardgame.com/images/cardlist/card/ST06-014.png,D:\Miru_Assets\ST06\base\ST06-014.png,SKIPPED_ALREADY_PRESENT,0,,BANDAI_CDN_BASE,no
PRB01,ST06-014,https://en.onepiece-cardgame.com/images/cardlist/card/ST06-014.png,D:\Miru_Assets\PRB01\parallel\ST06-014_p1.png,HELD_UNAPPROVED_SOURCE,0,Bandai CDN URL is base-code only; not variant-aware for family=parallel. Fetching would write wrong image.,BANDAI_CDN_BASE_MISMATCH,no
PRB01,ST06-014,https://en.onepiece-cardgame.com/images/cardlist/card/ST06-014.png,D:\Miru_Assets\PRB01\parallel\ST06-014_p2.png,HELD_UNAPPROVED_SOURCE,0,Bandai CDN URL is base-code only; not variant-aware for family=parallel. Fetching would write wrong image.,BANDAI_CDN_BASE_MISMATCH,no
PRB01,ST06-014,https://en.onepiece-cardgame.com/images/cardlist/card/ST06-014.png,D:\Miru_Assets\PRB01\reprint\ST06-014_r1.png,HELD_UNAPPROVED_SOURCE,0,Bandai CDN URL is base-code only; not variant-aware for family=reprint. Fetching would write wrong image.,BANDAI_CDN_BASE_MISMATCH,no
ST06,ST06-015,https://en.onepiece-cardgame.com/images/cardlist/card/ST06-015.png,D:\Miru_Assets\ST06\base\ST06-015.png,SKIPPED_ALREADY_PRESENT,0,,BANDAI_CDN_BASE,no
ST06,ST06-016,https://en.onepiece-cardgame.com/images/cardlist/card/ST06-016.png,D:\Miru_Assets\ST06\base\ST06-016.png,SKIPPED_ALREADY_PRESENT,0,,BANDAI_CDN_BASE,no
ST06,ST06-017,https://en.onepiece-cardgame.com/images/cardlist/card/ST06-017.png,D:\Miru_Assets\ST06\base\ST06-017.png,SKIPPED_ALREADY_PRESENT,0,,BANDAI_CDN_BASE,no
ST07,ST07-001,https://en.onepiece-cardgame.com/images/cardlist/card/ST07-001.png,D:\Miru_Assets\ST07\base\ST07-001.png,SKIPPED_ALREADY_PRESENT,0,,BANDAI_CDN_BASE,no
