release_set_code	duplicate_base_pairs
OP03	121
OP01	121
OP14	120
OP13	120
OP15	119
OP12	119
OP11	119
OP09	119
OP08	119
OP07	119
OP06	119
OP05	119
OP04	119
OP10	117
OP02	105
P	92
EB03	62
EB04	61
EB02	61
EB01	61
ST13	19
PRB02	18
ST29	17
ST22	17
ST14	17
ST10	17
ST05	17
ST04	17
ST03	17
ST02	17
ST01	17
ST09	15
ST06	15
ST08	14
ST12	13
ST21	8
ST07	8
ST28	5
ST27	5
ST26	5
ST24	5
ST23	5
ST20	5
ST19	5
ST18	5
ST17	5
ST16	5
ST15	5
PRB01	1
