printing_id,card_code,variant_key,current_path,refreshed_path,old_byte_size,new_byte_size,old_dimensions,new_dimensions,refresh_status,source_used,notes
912,OP01-041::prb01alt,alt,PRB01\Alts\OP01-041(PRB01alt).jpg,,5045720,0,3358x4692,,SKIPPED_GOOD_ENOUGH,,Already 3358x4692 (5045720b) via alts_highres
914,OP01-041::w inner alt,alt,OP01\ALTS\OP01-041Winner alt.jpg,,9183992,0,5000x6984,,SKIPPED_GOOD_ENOUGH,,Already 5000x6984 (9183992b) via alts_highres
908,OP01-041_p1,parallel_1,,PRB01/parallel/OP01-041_p7.png,0,79710,,600x838,FETCHED_NEW,optcg-api,"Was NO_FILE, now 600x838 from optcg-api"
909,OP01-041_p3,parallel_3,,,0,0,,,GAP_NO_SOURCE,,No image file on disk. No source_url in image_assets. Needs new source discovery.
910,OP01-041_p4,parallel_4,,,0,0,,,GAP_NO_SOURCE,,No image file on disk. No source_url in image_assets. Needs new source discovery.
911,OP01-041_p5,parallel_5,PRB01\parallel\OP01-041_p5.png,PRB01/parallel/OP01-041_p5.png,195339,195339,600x838,600x838,FETCHED_SUPPLEMENTAL,optcg-api,Fetched 600x838 as supplemental to existing 600x838
913,OP01-041_r1,r1,,,0,0,,,GAP_NO_SOURCE,,No image file on disk. No source_url in image_assets. Needs new source discovery.
927,OP01-047::alt,alt,OP01\ALTS\OP01-047 (alt).png,,10623624,0,3358x4692,,SKIPPED_GOOD_ENOUGH,,Already 3358x4692 (10623624b) via alts_highres
931,OP01-047::prb01alt2,alt,PRB01\Alts\OP01-047(PRB01alt2).jpg,,6498786,0,3358x4692,,SKIPPED_GOOD_ENOUGH,,Already 3358x4692 (6498786b) via alts_highres
933,OP01-047::s p,sp,OP04\ALTS\OP01-047SP.png,,12063252,0,3358x4692,,SKIPPED_GOOD_ENOUGH,,Already 3358x4692 (12063252b) via alts_highres
928,OP01-047_p1,parallel_1,,,0,0,,,GAP_NO_SOURCE,,No image file on disk. No source_url in image_assets. Needs new source discovery.
929,OP01-047_p2,parallel_2,OP04\parallel\OP01-047_p2.png,OP04/parallel/OP01-047_p2.png,199222,199222,600x838,600x838,FETCHED_SUPPLEMENTAL,optcg-api,Fetched 600x838 as supplemental to existing 600x838
930,OP01-047_p4,parallel_4,PRB01\parallel\OP01-047_p4.png,PRB01/parallel/OP01-047_p4.png,233918,233918,600x838,600x838,FETCHED_SUPPLEMENTAL,optcg-api,Fetched 600x838 as supplemental to existing 600x838
932,OP01-047_r1,r1,,,0,0,,,GAP_NO_SOURCE,,No image file on disk. No source_url in image_assets. Needs new source discovery.
936,OP01-048::alt,alt,OP01\ALTS\OP01-048 (alt).jpg,,604404,0,1466x2048,,SKIPPED_BORDERLINE,,BORDERLINE at 1466x2048 via alts_highres. No better source available.
937,OP01-048_p1,parallel_1,OP01\parallel\OP01-048_p1.png,OP01/parallel/OP01-048_p1.png,208671,208671,600x838,600x838,FETCHED_SUPPLEMENTAL,optcg-api,Fetched 600x838 as supplemental to existing 600x838
944,OP01-051::alt,alt,PRB01\Alts\OP01-051(PRB01alt).jpg,,5464904,0,3358x4692,,SKIPPED_GOOD_ENOUGH,,Already 3358x4692 (5464904b) via alts_highres
948,OP01-051::prb01alt,alt,PRB01\Alts\OP01-051(PRB01alt).jpg,,5464904,0,3358x4692,,SKIPPED_GOOD_ENOUGH,,Already 3358x4692 (5464904b) via alts_highres
950,OP01-051::wanted,promo,OP01\ALTS\OP01-051 wanted.png,P/base/OP01-051.png,19869561,175143,5509x7713,600x838,SKIPPED_BETTER_EXISTS,optcg-api,"ALTS highres (5509x7713, 19869561b) already better than fetched (600x838, 175143b)"
945,OP01-051_p1,parallel_1,,,0,0,,,GAP_NO_SOURCE,,No image file on disk. No source_url in image_assets. Needs new source discovery.
946,OP01-051_p2,parallel_2,OP03\parallel\OP01-051_p2.png,OP03/parallel/OP01-051_p2.png,241401,241401,600x838,600x838,FETCHED_SUPPLEMENTAL,optcg-api,Fetched 600x838 as supplemental to existing 600x838
947,OP01-051_p4,parallel_4,PRB01\parallel\OP01-051_p4.png,PRB01/parallel/OP01-051_p4.png,189582,189582,600x838,600x838,FETCHED_SUPPLEMENTAL,optcg-api,Fetched 600x838 as supplemental to existing 600x838
949,OP01-051_r1,r1,,,0,0,,,GAP_NO_SOURCE,,No image file on disk. No source_url in image_assets. Needs new source discovery.
953,OP01-052::alt,alt,OP01\ALTS\OP01-052(alt).png,,9447518,0,3358x4692,,SKIPPED_GOOD_ENOUGH,,Already 3358x4692 (9447518b) via alts_highres
954,OP01-052::alt art 2,alt,,,0,0,,,GAP_NO_SOURCE,,No image file on disk. No source_url in image_assets. Needs new source discovery.
958,OP01-052::prb01alt,alt,PRB01\Alts\OP01-052(PRB01alt).jpg,,5677024,0,3358x4692,,SKIPPED_GOOD_ENOUGH,,Already 3358x4692 (5677024b) via alts_highres
