canonical_code,card_name,rarity,variant_key,variant_label,is_base,tcgplayer_product_id,tcgplayer_market_price
EB01-044,Funkfreed,C,base,Base,1,,
EB01-045,Brook,C,base,Base,1,,
EB01-046,Brook,SR,alt,Alt,0,,
EB01-046,Brook,SR,base,Base,1,,
EB01-046,Brook,SR,parallel_1,Parallel 1,0,,
EB01-046,Brook,SR,r1,R1,0,,
EB01-047,Laboon,C,base,Base,1,,
EB01-048,Laboon,SR,alt,Alt,0,,
EB01-048,Laboon,SR,base,Base,1,,
EB01-048,Laboon,SR,parallel_1,Parallel 1,0,,
EB01-048,Laboon,SR,parallel_2,Parallel 2,0,,
EB01-048,Laboon,SR,r1,R1,0,,
EB01-049,T-Bone,R,alt,Alt,0,,
EB01-049,T-Bone,R,base,Base,1,,
EB01-049,T-Bone,R,parallel_1,Parallel 1,0,,
EB01-050,...I Want to Live!!,C,base,Base,1,,
EB01-051,Finger Pistol,R,alt,Prb02,0,,
EB01-051,Finger Pistol,R,base,Base,1,,
EB01-051,Finger Pistol,R,parallel_1,Parallel 1,0,,
EB01-051,Finger Pistol,R,r1,R1,0,,
EB01-052,Viola,SR,alt,Alt,0,,
EB01-052,Viola,SR,base,Base,1,,
EB01-052,Viola,SR,parallel_1,Parallel 1,0,,
EB01-053,Gastino,C,base,Base,1,,
EB01-054,Gan.Fall,R,base,Base,1,,
EB01-055,Charlotte Compote,C,base,Base,1,,
EB01-056,Charlotte Flampe,R,alt,Alt,0,,
EB01-056,Charlotte Flampe,R,base,Base,1,,
EB01-056,Charlotte Flampe,R,parallel_1,Parallel 1,0,,
EB01-056,Charlotte Flampe,R,parallel_2,Parallel 2,0,,
EB01-056,Charlotte Flampe,R,sp,S P,0,,
EB01-057,Shirahoshi,SR,alt,Alt,0,,
EB01-057,Shirahoshi,SR,base,Base,1,,
EB01-057,Shirahoshi,SR,parallel_1,Parallel 1,0,,
EB01-057,Shirahoshi,SR,parallel_2,Parallel 2,0,,
EB01-057,Shirahoshi,SR,r1,R1,0,,
EB01-057,Shirahoshi,SR,sp,SP,0,,
EB01-058,Mont Blanc Cricket,C,base,Base,1,,
EB01-059,Kingdom Come,R,base,Base,1,,
EB01-060,Did Someone Say...Kami?,C,base,Base,1,,
EB01-060,Did Someone Say...Kami?,C,parallel_1,Parallel 1,0,,
EB01-060,Did Someone Say...Kami?,C,r1,R1,0,,
EB01-061,Mr.2.Bon.Kurei(Bentham),SEC,alt,Alt,0,,
EB01-061,Mr.2.Bon.Kurei(Bentham),SEC,base,Base,1,,
EB01-061,Mr.2.Bon.Kurei(Bentham),SEC,parallel_1,Parallel 1,0,,
EB01-061,Mr.2.Bon.Kurei(Bentham),SEC,r1,R1,0,,
EB02-001,Karoo,C,base,Base,1,,
EB02-002,Sabo,R,base,Base,1,,
EB02-002,Sabo,R,promo,Cn,0,,
EB02-003,Tony Tony.Chopper,R,alt,Alt,0,,
EB02-003,Tony Tony.Chopper,R,base,Base,1,,
EB02-003,Tony Tony.Chopper,R,parallel_1,Parallel 1,0,,
EB02-004,Don Accino,C,base,Base,1,,
EB02-005,Fake Straw Hat Crew,C,base,Base,1,,
EB02-006,Yamato,SR,alt,Alt,0,,
EB02-006,Yamato,SR,base,Base,1,,
EB02-006,Yamato,SR,parallel_1,Parallel 1,0,,
EB02-006,Yamato,SR,promo,Cn3Rdann,0,,
