id,printing_id,market_product_id,mapping_confidence,mapping_method,mapping_notes,is_preferred,created_at,updated_at
251,1314,542,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
252,1320,543,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
253,1323,544,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
254,1325,545,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
255,1328,546,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
256,1331,547,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
257,1336,548,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
258,1338,549,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
259,1341,550,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
260,1343,551,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
261,1346,552,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
262,1348,553,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
263,1350,554,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
264,1352,555,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
265,1356,556,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
266,1358,557,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
267,1362,558,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
268,1364,559,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
269,1367,560,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
270,1370,561,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
271,1372,562,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
272,1374,563,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
273,1377,564,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
274,1381,565,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
275,1387,566,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
276,1389,567,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
277,1395,568,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
278,1399,569,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
279,1401,570,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
280,1403,571,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
281,1405,572,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
282,1407,573,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
283,1412,574,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
284,1414,575,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
285,1416,576,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
286,1424,577,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
287,1428,578,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
288,1430,579,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
289,1432,580,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
290,1434,581,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
291,1436,582,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
292,1438,583,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
293,1440,584,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
294,1442,585,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
295,1444,586,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
296,1446,587,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
297,1448,588,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
298,1450,589,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
299,1456,590,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
300,1460,591,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
301,1462,592,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
302,1464,593,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
303,1471,594,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
304,1473,595,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
305,1475,596,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
306,1477,597,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
307,1483,598,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
308,1485,599,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
309,1486,600,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
310,1492,601,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
311,1493,602,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
312,1507,603,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
313,1509,604,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
