id,variant_card_code,base_card_code,variant_category,variant_subtype,detection_signals_json,source,confidence,is_active,verified_at,verified_by,notes,image_fingerprint_ref,layout_template_ref,created_at,updated_at
22,OP09-013,OP09-013,premium_rarity,sp,"{""has_sp_text"": true, ""filename_markers"": [""SP""]}",operator_verified,high,1,2026-03-25T20:39:53Z,operator_knowledge_seed,OP/ST-set SP card. Same-code pattern confirmed by operator via official site spot check on representative samples.,,,2026-03-25 20:39:53,2026-03-25 20:39:53
23,OP09-037,OP09-037,premium_rarity,sp,"{""has_sp_text"": true, ""filename_markers"": [""SP""]}",operator_verified,high,1,2026-03-25T20:39:53Z,operator_knowledge_seed,OP/ST-set SP card. Same-code pattern confirmed by operator via official site spot check on representative samples.,,,2026-03-25 20:39:53,2026-03-25 20:39:53
24,OP09-119,OP09-119,premium_rarity,sp,"{""has_sp_text"": true, ""filename_markers"": [""SP""]}",operator_verified,high,1,2026-03-25T20:39:53Z,operator_knowledge_seed,OP/ST-set SP card. Same-code pattern confirmed by operator via official site spot check on representative samples.,,,2026-03-25 20:39:53,2026-03-25 20:39:53
25,OP10-030,OP10-030,premium_rarity,sp,"{""has_sp_text"": true, ""filename_markers"": [""SP""]}",operator_verified,high,1,2026-03-25T20:39:53Z,operator_knowledge_seed,OP/ST-set SP card. Same-code pattern confirmed by operator via official site spot check on representative samples.,,,2026-03-25 20:39:53,2026-03-25 20:39:53
26,OP10-065,OP10-065,premium_rarity,sp,"{""has_sp_text"": true, ""filename_markers"": [""SP""]}",operator_verified,high,1,2026-03-25T20:39:53Z,operator_knowledge_seed,OP/ST-set SP card. Same-code pattern confirmed by operator via official site spot check on representative samples.,,,2026-03-25 20:39:53,2026-03-25 20:39:53
27,OP10-082,OP10-082,premium_rarity,sp,"{""has_sp_text"": true, ""filename_markers"": [""SP""]}",operator_verified,high,1,2026-03-25T20:39:53Z,operator_knowledge_seed,OP/ST-set SP card. Same-code pattern confirmed by operator via official site spot check on representative samples.,,,2026-03-25 20:39:53,2026-03-25 20:39:53
28,OP11-106,OP11-106,premium_rarity,sp,"{""has_sp_text"": true, ""filename_markers"": [""SP""]}",operator_verified,high,1,2026-03-25T20:39:53Z,operator_knowledge_seed,OP/ST-set SP card. Same-code pattern confirmed by operator via official site spot check on representative samples.,,,2026-03-25 20:39:53,2026-03-25 20:39:53
29,OP12-030,OP12-030,premium_rarity,sp,"{""has_sp_text"": true, ""filename_markers"": [""SP""]}",operator_verified,high,1,2026-03-25T20:39:53Z,operator_knowledge_seed,OP/ST-set SP card. Same-code pattern confirmed by operator via official site spot check on representative samples.,,,2026-03-25 20:39:53,2026-03-25 20:39:53
30,OP14-112,OP14-112,premium_rarity,sp,"{""has_sp_text"": true, ""filename_markers"": [""SP""]}",operator_verified,high,1,2026-03-25T20:39:53Z,operator_knowledge_seed,OP/ST-set SP card. Same-code pattern confirmed by operator via official site spot check on representative samples.,,,2026-03-25 20:39:53,2026-03-25 20:39:53
31,PRB02-006,PRB02-006,premium_rarity,sp,"{""has_sp_text"": true, ""filename_markers"": [""SP""]}",operator_verified,high,1,2026-03-25T20:39:53Z,operator_knowledge_seed,OP/ST-set SP card. Same-code pattern confirmed by operator via official site spot check on representative samples.,,,2026-03-25 20:39:53,2026-03-25 20:39:53
32,PRB02-014,PRB02-014,premium_rarity,sp,"{""has_sp_text"": true, ""filename_markers"": [""SP""]}",operator_verified,high,1,2026-03-25T20:39:53Z,operator_knowledge_seed,OP/ST-set SP card. Same-code pattern confirmed by operator via official site spot check on representative samples.,,,2026-03-25 20:39:53,2026-03-25 20:39:53
33,ST13-011,ST13-011,premium_rarity,sp,"{""has_sp_text"": true, ""filename_markers"": [""SP""]}",operator_verified,high,1,2026-03-25T20:39:53Z,operator_knowledge_seed,OP/ST-set SP card. Same-code pattern confirmed by operator via official site spot check on representative samples.,,,2026-03-25 20:39:53,2026-03-25 20:39:53
34,ST16-004,ST16-004,premium_rarity,sp,"{""has_sp_text"": true, ""filename_markers"": [""SP""]}",operator_verified,high,1,2026-03-25T20:39:53Z,operator_knowledge_seed,OP/ST-set SP card. Same-code pattern confirmed by operator via official site spot check on representative samples.,,,2026-03-25 20:39:53,2026-03-25 20:39:53
35,ST18-004,ST18-004,premium_rarity,sp,"{""has_sp_text"": true, ""filename_markers"": [""SP""]}",operator_verified,high,1,2026-03-25T20:39:53Z,operator_knowledge_seed,OP/ST-set SP card. Same-code pattern confirmed by operator via official site spot check on representative samples.,,,2026-03-25 20:39:53,2026-03-25 20:39:53
36,ST18-005,ST18-005,premium_rarity,sp,"{""has_sp_text"": true, ""filename_markers"": [""SP""]}",operator_verified,high,1,2026-03-25T20:39:53Z,operator_knowledge_seed,OP/ST-set SP card. Same-code pattern confirmed by operator via official site spot check on representative samples.,,,2026-03-25 20:39:53,2026-03-25 20:39:53
37,EB04-039,OP14-014,premium_rarity,sp,"{""has_sp_text"": true, ""filename_markers"": [""SP""]}",operator_verified,high,1,2026-03-25T20:39:53Z,operator_knowledge_seed,"Card Set(s) field: -THE AZURE SEA’S SEVEN- [OP14-EB04]. Name match: Eustass""Captain""Kid.",,,2026-03-25 20:39:53,2026-03-25 20:39:53
38,EB01-003,EB01-003,premium_rarity,sp,"{""has_sp_text"": true, ""filename_markers"": [""SP""]}",operator_verified,high,1,2026-03-25T20:39:53Z,operator_knowledge_seed,EB SP card. Same-code variant. SP print distributed through OP14. Physical distribution does not change base card identity.,,,2026-03-25 20:39:53,2026-03-25 20:39:53
39,EB01-023,EB01-023,premium_rarity,sp,"{""has_sp_text"": true, ""filename_markers"": [""SP""]}",operator_verified,high,1,2026-03-25T20:39:53Z,operator_knowledge_seed,EB SP card. Same-code variant. SP print distributed through EB01. Physical distribution does not change base card identity.,,,2026-03-25 20:39:53,2026-03-25 20:39:53
40,EB01-057,EB01-057,premium_rarity,sp,"{""has_sp_text"": true, ""filename_markers"": [""SP""]}",operator_verified,high,1,2026-03-25T20:39:53Z,operator_knowledge_seed,EB SP card. Same-code variant. SP print distributed through EB01. Physical distribution does not change base card identity.,,,2026-03-25 20:39:53,2026-03-25 20:39:53
41,EB02-028,EB02-028,premium_rarity,sp,"{""has_sp_text"": true, ""filename_markers"": [""SP""]}",operator_verified,high,1,2026-03-25T20:39:53Z,operator_knowledge_seed,EB SP card. Same-code variant. SP print distributed through OP13. Physical distribution does not change base card identity.,,,2026-03-25 20:39:53,2026-03-25 20:39:53
42,EB03-003,EB03-003,premium_rarity,sp,"{""has_sp_text"": true, ""filename_markers"": [""SP""]}",operator_verified,high,1,2026-03-25T20:39:53Z,operator_knowledge_seed,EB SP card. Same-code variant. SP print distributed through EB03. Physical distribution does not change base card identity.,,,2026-03-25 20:39:53,2026-03-25 20:39:53
43,EB03-018,EB03-018,premium_rarity,sp,"{""has_sp_text"": true, ""filename_markers"": [""SP""]}",operator_verified,high,1,2026-03-25T20:39:53Z,operator_knowledge_seed,EB SP card. Same-code variant. SP print distributed through EB03. Physical distribution does not change base card identity.,,,2026-03-25 20:39:53,2026-03-25 20:39:53
44,EB03-024,EB03-024,premium_rarity,sp,"{""has_sp_text"": true, ""filename_markers"": [""SP""]}",operator_verified,high,1,2026-03-25T20:39:53Z,operator_knowledge_seed,EB SP card. Same-code variant. SP print distributed through EB03. Physical distribution does not change base card identity.,,,2026-03-25 20:39:53,2026-03-25 20:39:53
45,EB03-026,EB03-026,premium_rarity,sp,"{""has_sp_text"": true, ""filename_markers"": [""SP""]}",operator_verified,high,1,2026-03-25T20:39:53Z,operator_knowledge_seed,EB SP card. Same-code variant. SP print distributed through EB03. Physical distribution does not change base card identity.,,,2026-03-25 20:39:53,2026-03-25 20:39:53
46,EB03-031,EB03-031,premium_rarity,sp,"{""has_sp_text"": true, ""filename_markers"": [""SP""]}",operator_verified,high,1,2026-03-25T20:39:53Z,operator_knowledge_seed,EB SP card. Same-code variant. SP print distributed through EB03. Physical distribution does not change base card identity.,,,2026-03-25 20:39:53,2026-03-25 20:39:53
47,EB03-042,EB03-042,premium_rarity,sp,"{""has_sp_text"": true, ""filename_markers"": [""SP""]}",operator_verified,high,1,2026-03-25T20:39:53Z,operator_knowledge_seed,EB SP card. Same-code variant. SP print distributed through EB03. Physical distribution does not change base card identity.,,,2026-03-25 20:39:53,2026-03-25 20:39:53
48,EB03-045,EB03-045,premium_rarity,sp,"{""has_sp_text"": true, ""filename_markers"": [""SP""]}",operator_verified,high,1,2026-03-25T20:39:53Z,operator_knowledge_seed,EB SP card. Same-code variant. SP print distributed through EB03. Physical distribution does not change base card identity.,,,2026-03-25 20:39:53,2026-03-25 20:39:53
49,EB03-053,EB03-053,premium_rarity,sp,"{""has_sp_text"": true, ""filename_markers"": [""SP""]}",operator_verified,high,1,2026-03-25T20:39:53Z,operator_knowledge_seed,EB SP card. Same-code variant. SP print distributed through EB03. Physical distribution does not change base card identity.,,,2026-03-25 20:39:53,2026-03-25 20:39:53
50,EB03-055,EB03-055,premium_rarity,sp,"{""has_sp_text"": true, ""filename_markers"": [""SP""]}",operator_verified,high,1,2026-03-25T20:39:53Z,operator_knowledge_seed,EB SP card. Same-code variant. SP print distributed through EB03. Physical distribution does not change base card identity.,,,2026-03-25 20:39:53,2026-03-25 20:39:53
51,EB04-003,EB04-003,premium_rarity,sp,"{""has_sp_text"": true, ""filename_markers"": [""SP""]}",operator_verified,high,1,2026-03-25T20:39:53Z,operator_knowledge_seed,EB SP card. Same-code variant. SP print distributed through OP15. Physical distribution does not change base card identity.,,,2026-03-25 20:39:53,2026-03-25 20:39:53
