id,card_code,format_name,region,legality_state,effective_start,effective_end,source_id,source_reference,notice_id,is_current,is_upcoming,notes,updated_at
1,ST06-015,standard,,legal,2026-04-01,,official,Details: https://en.onepiece-cardgame.com/topics/029.php,bandai-opcg-restriction-update-effective-2026-04-01,0,1,unban_effective_at=2026-04-01; April 2026 restriction update.,2026-03-27T04:56:37Z
2,OP07-045,standard,,legal,2026-04-01,,official,Details: https://en.onepiece-cardgame.com/topics/029.php,bandai-opcg-restriction-update-effective-2026-04-01,0,1,unban_effective_at=2026-04-01; April 2026 restriction update.,2026-03-27T04:56:37Z
3,EB01-059,standard,,legal,2026-04-01,,official,Details: https://en.onepiece-cardgame.com/topics/029.php,bandai-opcg-restriction-update-effective-2026-04-01,0,1,unban_effective_at=2026-04-01; April 2026 restriction update.,2026-03-27T04:56:37Z
4,OP02-024,standard,,legal,2026-04-01,,official,Details: https://en.onepiece-cardgame.com/topics/029.php,bandai-opcg-restriction-update-effective-2026-04-01,0,1,unban_effective_at=2026-04-01; April 2026 restriction update.,2026-03-27T04:56:37Z
5,OP03-098,standard,,legal,2026-04-01,,official,Details: https://en.onepiece-cardgame.com/topics/029.php,bandai-opcg-restriction-update-effective-2026-04-01,0,1,unban_effective_at=2026-04-01; April 2026 restriction update.,2026-03-27T04:56:37Z
6,OP02-117,standard,,legal,2026-04-01,,official,Details: https://en.onepiece-cardgame.com/topics/029.php,bandai-opcg-restriction-update-effective-2026-04-01,0,1,unban_effective_at=2026-04-01; April 2026 restriction update.,2026-03-27T04:56:37Z
7,OP06-047,standard,,banned,2026-04-01,,official,Details: https://en.onepiece-cardgame.com/topics/029.php,bandai-opcg-restriction-update-effective-2026-04-01,0,1,banned effective 2026-04-01 per official restriction update.,2026-03-27T04:56:37Z
