id,card_id,variant_key,variant_label,print_id,release_set_code,release_set_name,image_path,image_url,source,is_base,is_alt,is_sp,has_variant_evidence,is_tr,is_manga_rare,is_golden_manga_rare,is_promo,is_serialized,is_illustration_rare,official_provenance,distribution_product_key,updated_at,tcgplayer_product_id,tcgplayer_market_price,tcgplayer_mid_price,tcgplayer_low_price,tcgplayer_price_updated_at
28,6,r1,R1,EB01-006_r1,PRB01,One Piece Card The Best,PRB01/reprint/EB01-006_r1.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-006_r1.png?260305,official-cardlist,0,0,0,1,0,0,0,0,0,0,-ONE PIECE CARD THE BEST- [PRB-01],PRB01,2026-03-31T03:47:21Z,,,,,
29,7,base,Base,EB01-007,EB01,Memorial Collection,EB01/base/EB01-007.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-007.png?260305,official-cardlist,1,0,0,1,0,0,0,0,0,0,,,2026-04-01 22:05:40,,,,,
31,7,parallel_1,Parallel 1,EB01-007_p1,EB01,Premium Card Collection -Best Selection Vol.4-,BCV4/parallel/EB01-007_p1.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-007_p1.png?260305,official-cardlist,0,0,0,1,0,0,0,0,0,0,Premium Card Collection -Best Selection Vol.4-,BCV4,2026-03-31T03:47:28Z,,,,,
32,8,base,Base,EB01-008,EB01,Memorial Collection,EB01/base/EB01-008.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-008.png?260305,official-cardlist,1,0,0,1,0,0,0,0,0,0,,,2026-04-01 22:05:40,,,,,
34,9,base,Base,EB01-009,EB01,Memorial Collection,EB01/base/EB01-009.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-009.png?260305,official-cardlist,1,0,0,1,0,0,0,0,0,0,,,2026-04-01 22:05:40,,,,,
36,9,parallel_1,Parallel 1,EB01-009_p1,PRB02,One Piece Card The Best Vol.2,PRB02/parallel/EB01-009_p1.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-009_p1.png?260305,official-cardlist,0,0,0,1,0,0,0,0,0,0,-ONE PIECE CARD THE BEST vol.2- [PRB-02],PRB02,2026-03-31T03:47:47Z,,,,,
37,9,r1,R1,EB01-009_r1,PRB02,One Piece Card The Best Vol.2,PRB02/reprint/EB01-009_r1.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-009_r1.png?260305,official-cardlist,0,0,0,1,0,0,0,0,0,0,-ONE PIECE CARD THE BEST vol.2- [PRB-02],PRB02,2026-03-31T03:47:59Z,,,,,
38,10,base,Base,EB01-010,EB01,Memorial Collection,EB01/base/EB01-010.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-010.png?260305,official-cardlist,1,0,0,1,0,0,0,0,0,0,,,2026-04-01 22:05:40,,,,,
40,11,base,Base,EB01-011,EB01,Memorial Collection,EB01/base/EB01-011.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-011.png?260305,official-cardlist,1,0,0,1,0,0,0,0,0,0,,,2026-04-01 22:05:40,,,,,
42,12,base,Base,EB01-012,EB01,Memorial Collection,EB01/base/EB01-012.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-012.png?260305,official-cardlist,1,0,0,1,0,0,0,0,0,0,,,2026-04-01 22:05:40,,,,,
44,12,alt,Alt,EB01-012::alt,EB01,Memorial Collection,thumbs/EB01-012alt.webp,,local-catalog,0,1,0,1,0,0,0,0,0,0,,,,,,,,
45,12,alt,Alt Art 2,EB01-012::alt art 2,EB01,Memorial Collection,thumbs/EB01-012alt2.webp,,local-catalog,0,1,0,1,0,0,0,0,0,0,,,,,,,,
46,12,parallel_1,Parallel 1,EB01-012_p1,EB01,Memorial Collection,EB01/parallel/EB01-012_p1.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-012_p1.png?260305,official-cardlist,0,0,0,1,0,0,0,0,0,0,-Memorial Collection- [EB-01],EB01,2026-03-31T04:01:43Z,,,,,
47,12,parallel_3,Parallel 3,EB01-012_p3,EB01,Promotion Card,EB01/parallel/EB01-012_p3.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-012_p3.png?260305,official-cardlist,0,0,0,1,0,0,0,0,0,0,,,,,,,,
48,12,r1,R1,EB01-012_r1,PRB02,One Piece Card The Best Vol.2,PRB02/reprint/EB01-012_r1.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-012_r1.png?260305,official-cardlist,0,0,0,1,0,0,0,0,0,0,-ONE PIECE CARD THE BEST vol.2- [PRB-02],PRB02,2026-03-31T04:01:55Z,,,,,
49,13,base,Base,EB01-013,EB01,Memorial Collection,EB01/base/EB01-013.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-013.png?260305,official-cardlist,1,0,0,1,0,0,0,0,0,0,,,2026-04-01 22:05:40,,,,,
51,13,alt,Alt,EB01-013::alt,EB01,Memorial Collection,thumbs/EB01-013alt.webp,,local-catalog,0,1,0,1,0,0,0,0,0,0,,,,,,,,
52,13,parallel_1,Parallel 1,EB01-013_p1,EB01,Memorial Collection,EB01/parallel/EB01-013_p1.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-013_p1.png?260305,official-cardlist,0,0,0,1,0,0,0,0,0,0,-Memorial Collection- [EB-01],EB01,2026-03-31T04:02:02Z,,,,,
53,14,base,Base,EB01-014,EB01,Memorial Collection,EB01/base/EB01-014.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-014.png?260305,official-cardlist,1,0,0,1,0,0,0,0,0,0,,,2026-04-01 22:05:40,,,,,
55,14,alt,Alt,EB01-014::alt,EB01,Memorial Collection,thumbs/EB01-014alt.webp,,local-catalog,0,1,0,1,0,0,0,0,0,0,,,,,,,,
56,14,parallel_1,Parallel 1,EB01-014_p1,EB01,CS 25-26 Celebration Pack,CS2526CP/parallel/EB01-014_p1.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-014_p1.png?260305,official-cardlist,0,0,0,1,0,0,0,0,0,0,CS 25-26 Celebration Pack,CS2526CP,2026-03-31T04:02:11Z,,,,,
57,15,base,Base,EB01-015,EB01,Memorial Collection,EB01/base/EB01-015.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-015.png?260305,official-cardlist,1,0,0,1,0,0,0,0,0,0,,,2026-04-01 22:05:40,,,,,
59,15,alt,Alt,EB01-015::alt,EB01,Memorial Collection,thumbs/EB01-015alt.webp,,local-catalog,0,1,0,1,0,0,0,0,0,0,,,,,,,,
60,15,parallel_1,Parallel 1,EB01-015_p1,EB01,Tournament Kit 2025 Vol.2,TK2025V2/parallel/EB01-015_p1.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-015_p1.png?260305,official-cardlist,0,0,0,1,0,0,0,0,0,0,Tournament Kit 2025 Vol.2,TK2025V2,2026-03-31T04:02:20Z,,,,,
61,15,parallel_2,Parallel 2,EB01-015_p2,EB01,Promotion Card,_unclassified/parallel/EB01-015_p2.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-015_p2.png?260305,official-cardlist,0,0,0,1,0,0,0,0,0,0,Winner Pack 2025 Vol.2,_unclassified,2026-03-31T04:02:24Z,,,,,
62,15,parallel_3,Parallel 3,EB01-015_p3,ST24,Green Jewelry Bonney,ST24/parallel/EB01-015_p3.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-015_p3.png?260305,official-cardlist,0,0,0,1,0,0,0,0,0,0,-GREEN Jewelry Bonney- [ST-24],ST24,2026-03-31T04:02:28Z,,,,,
63,15,parallel_4,Parallel 4,EB01-015_p4,EB01,CS 25-26 Celebration Pack,CS2526CP/parallel/EB01-015_p4.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-015_p4.png?260305,official-cardlist,0,0,0,1,0,0,0,0,0,0,CS 25-26 Celebration Pack,CS2526CP,2026-03-31T04:02:32Z,,,,,
64,15,parallel_5,Parallel 5,EB01-015_p5,PRB02,One Piece Card The Best Vol.2,PRB02/parallel/EB01-015_p5.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-015_p5.png?260305,official-cardlist,0,0,0,1,0,0,0,0,0,0,-ONE PIECE CARD THE BEST vol.2- [PRB-02],PRB02,2026-03-31T04:02:39Z,,,,,
65,15,alt,Prb02,EB01-015::prb02,EB01,Memorial Collection,thumbs/EB01-015(PRB02).webp,,local-catalog,0,0,0,1,0,0,0,0,0,0,,,,,,,,
66,15,r1,R1,EB01-015_r1,PRB02,One Piece Card The Best Vol.2,PRB02/reprint/EB01-015_r1.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-015_r1.png?260305,official-cardlist,0,0,0,1,0,0,0,0,0,0,-ONE PIECE CARD THE BEST vol.2- [PRB-02],PRB02,2026-03-31T04:02:50Z,,,,,
67,16,base,Base,EB01-016,EB01,Memorial Collection,EB01/base/EB01-016.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-016.png?260305,official-cardlist,1,0,0,1,0,0,0,0,0,0,,,2026-04-01 22:05:40,,,,,
69,17,base,Base,EB01-017,EB01,Memorial Collection,EB01/base/EB01-017.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-017.png?260305,official-cardlist,1,0,0,1,0,0,0,0,0,0,,,2026-04-01 22:05:40,,,,,
