id,source_name,market_product_id,market_group_id,market_category_id,product_name,clean_product_name,market_variant_label,market_set_name,market_set_code,market_number,rarity_market,subtype_support,active,url,image_url,raw_payload_json,created_at,updated_at
331,tcgcsv,454516,3188,68,Usopp,Usopp,,,OP01,OP01-004,R,0,1,https://www.tcgplayer.com/product/454516/one-piece-card-game-romance-dawn-usopp,,,2026-04-01 22:09:08,2026-04-01 22:09:08
332,tcgcsv,454517,3188,68,Uta,Uta,,,OP01,OP01-005,R,0,1,https://www.tcgplayer.com/product/454517/one-piece-card-game-romance-dawn-uta,,,2026-04-01 22:09:08,2026-04-01 22:09:08
333,tcgcsv,454518,3188,68,Otama,Otama,,,OP01,OP01-006,UC,0,1,https://www.tcgplayer.com/product/454518/one-piece-card-game-romance-dawn-otama,,,2026-04-01 22:09:08,2026-04-01 22:09:08
334,tcgcsv,454519,3188,68,Caribou,Caribou,,,OP01,OP01-007,C,0,1,https://www.tcgplayer.com/product/454519/one-piece-card-game-romance-dawn-caribou,,,2026-04-01 22:09:08,2026-04-01 22:09:08
335,tcgcsv,454520,3188,68,Cavendish,Cavendish,,,OP01,OP01-008,C,0,1,https://www.tcgplayer.com/product/454520/one-piece-card-game-romance-dawn-cavendish,,,2026-04-01 22:09:08,2026-04-01 22:09:08
336,tcgcsv,454522,3188,68,Carrot,Carrot,,,OP01,OP01-009,C,0,1,https://www.tcgplayer.com/product/454522/one-piece-card-game-romance-dawn-carrot,,,2026-04-01 22:09:08,2026-04-01 22:09:08
337,tcgcsv,454525,3188,68,Komachiyo,Komachiyo,,,OP01,OP01-010,C,0,1,https://www.tcgplayer.com/product/454525/one-piece-card-game-romance-dawn-komachiyo,,,2026-04-01 22:09:08,2026-04-01 22:09:08
338,tcgcsv,454526,3188,68,Gordon,Gordon,,,OP01,OP01-011,UC,0,1,https://www.tcgplayer.com/product/454526/one-piece-card-game-romance-dawn-gordon,,,2026-04-01 22:09:08,2026-04-01 22:09:08
339,tcgcsv,454527,3188,68,Sai,Sai,,,OP01,OP01-012,C,0,1,https://www.tcgplayer.com/product/454527/one-piece-card-game-romance-dawn-sai,,,2026-04-01 22:09:08,2026-04-01 22:09:08
340,tcgcsv,454529,3188,68,Sanji,Sanji,,,OP01,OP01-013,R,0,1,https://www.tcgplayer.com/product/454529/one-piece-card-game-romance-dawn-sanji,,,2026-04-01 22:09:08,2026-04-01 22:09:08
341,tcgcsv,454530,3188,68,Sanji (Parallel),Sanji Parallel,Parallel,,OP01,OP01-013,R,0,1,https://www.tcgplayer.com/product/454530/one-piece-card-game-romance-dawn-sanji-parallel,,,2026-04-01 22:09:08,2026-04-01 22:09:08
342,tcgcsv,454532,3188,68,Jinbe (014),Jinbe 014,,,OP01,OP01-014,UC,0,1,https://www.tcgplayer.com/product/454532/one-piece-card-game-romance-dawn-jinbe-014,,,2026-04-01 22:09:08,2026-04-01 22:09:08
