printing_id,canonical_code,variant_family,candidate_mp_id,candidate_mp_name,pre_install_status,snapshot_pair_exists,snapshot_target_claim_count,snapshot_price_row_count,snapshot_unique_risk,install_sql,rollback_sql
6149,OP15-001,alt,5455,Krieg (OP15-001) (Alternate Art),CLEAR_TO_INSTALL,0,0,1,"unique/rollback key: printing_id,market_product_id","INSERT INTO printing_market_map (printing_id, market_product_id, mapping_confidence, mapping_method, mapping_notes, is_preferred, created_at, updated_at) VALUES (6149, 5455, 'HIGH', 'chapter19_batch2', 'chapter19.11 planned install from chapter19_10 high-confidence candidates', 1, datetime('now'), datetime('now'))",DELETE FROM printing_market_map WHERE printing_id = 6149 AND market_product_id = 5455
6160,OP15-008,alt,5466,Krieg (OP15-008) (Alternate Art),CLEAR_TO_INSTALL,0,0,1,"unique/rollback key: printing_id,market_product_id","INSERT INTO printing_market_map (printing_id, market_product_id, mapping_confidence, mapping_method, mapping_notes, is_preferred, created_at, updated_at) VALUES (6160, 5466, 'HIGH', 'chapter19_batch2', 'chapter19.11 planned install from chapter19_10 high-confidence candidates', 1, datetime('now'), datetime('now'))",DELETE FROM printing_market_map WHERE printing_id = 6160 AND market_product_id = 5466
6175,OP15-022,alt,5481,Brook (OP15-022) (Alternate Art),CLEAR_TO_INSTALL,0,0,1,"unique/rollback key: printing_id,market_product_id","INSERT INTO printing_market_map (printing_id, market_product_id, mapping_confidence, mapping_method, mapping_notes, is_preferred, created_at, updated_at) VALUES (6175, 5481, 'HIGH', 'chapter19_batch2', 'chapter19.11 planned install from chapter19_10 high-confidence candidates', 1, datetime('now'), datetime('now'))",DELETE FROM printing_market_map WHERE printing_id = 6175 AND market_product_id = 5481
6187,OP15-032,alt,5493,Brook (OP15-032) (Alternate Art),CLEAR_TO_INSTALL,0,0,1,"unique/rollback key: printing_id,market_product_id","INSERT INTO printing_market_map (printing_id, market_product_id, mapping_confidence, mapping_method, mapping_notes, is_preferred, created_at, updated_at) VALUES (6187, 5493, 'HIGH', 'chapter19_batch2', 'chapter19.11 planned install from chapter19_10 high-confidence candidates', 1, datetime('now'), datetime('now'))",DELETE FROM printing_market_map WHERE printing_id = 6187 AND market_product_id = 5493
6195,OP15-039,alt,5501,Rebecca (OP15-039) (Alternate Art),CLEAR_TO_INSTALL,0,0,1,"unique/rollback key: printing_id,market_product_id","INSERT INTO printing_market_map (printing_id, market_product_id, mapping_confidence, mapping_method, mapping_notes, is_preferred, created_at, updated_at) VALUES (6195, 5501, 'HIGH', 'chapter19_batch2', 'chapter19.11 planned install from chapter19_10 high-confidence candidates', 1, datetime('now'), datetime('now'))",DELETE FROM printing_market_map WHERE printing_id = 6195 AND market_product_id = 5501
6205,OP15-047,alt,5511,Sanji (OP15-047) (Alternate Art),CLEAR_TO_INSTALL,0,0,1,"unique/rollback key: printing_id,market_product_id","INSERT INTO printing_market_map (printing_id, market_product_id, mapping_confidence, mapping_method, mapping_notes, is_preferred, created_at, updated_at) VALUES (6205, 5511, 'HIGH', 'chapter19_batch2', 'chapter19.11 planned install from chapter19_10 high-confidence candidates', 1, datetime('now'), datetime('now'))",DELETE FROM printing_market_map WHERE printing_id = 6205 AND market_product_id = 5511
6212,OP15-053,alt,5518,Rebecca (OP15-053) (Alternate Art),CLEAR_TO_INSTALL,0,0,1,"unique/rollback key: printing_id,market_product_id","INSERT INTO printing_market_map (printing_id, market_product_id, mapping_confidence, mapping_method, mapping_notes, is_preferred, created_at, updated_at) VALUES (6212, 5518, 'HIGH', 'chapter19_batch2', 'chapter19.11 planned install from chapter19_10 high-confidence candidates', 1, datetime('now'), datetime('now'))",DELETE FROM printing_market_map WHERE printing_id = 6212 AND market_product_id = 5518
6218,OP15-058,alt,5524,Enel (OP15-058) (Alternate Art),CLEAR_TO_INSTALL,0,0,1,"unique/rollback key: printing_id,market_product_id","INSERT INTO printing_market_map (printing_id, market_product_id, mapping_confidence, mapping_method, mapping_notes, is_preferred, created_at, updated_at) VALUES (6218, 5524, 'HIGH', 'chapter19_batch2', 'chapter19.11 planned install from chapter19_10 high-confidence candidates', 1, datetime('now'), datetime('now'))",DELETE FROM printing_market_map WHERE printing_id = 6218 AND market_product_id = 5524
6221,OP15-060,alt,5527,Enel (OP15-060) (Alternate Art),CLEAR_TO_INSTALL,0,0,1,"unique/rollback key: printing_id,market_product_id","INSERT INTO printing_market_map (printing_id, market_product_id, mapping_confidence, mapping_method, mapping_notes, is_preferred, created_at, updated_at) VALUES (6221, 5527, 'HIGH', 'chapter19_batch2', 'chapter19.11 planned install from chapter19_10 high-confidence candidates', 1, datetime('now'), datetime('now'))",DELETE FROM printing_market_map WHERE printing_id = 6221 AND market_product_id = 5527
6251,OP15-086,alt,5557,Nami (OP15-086) (Alternate Art),CLEAR_TO_INSTALL,0,0,1,"unique/rollback key: printing_id,market_product_id","INSERT INTO printing_market_map (printing_id, market_product_id, mapping_confidence, mapping_method, mapping_notes, is_preferred, created_at, updated_at) VALUES (6251, 5557, 'HIGH', 'chapter19_batch2', 'chapter19.11 planned install from chapter19_10 high-confidence candidates', 1, datetime('now'), datetime('now'))",DELETE FROM printing_market_map WHERE printing_id = 6251 AND market_product_id = 5557
