card_code,printing_id,variant_key,current_local_path,candidate_paths_checked,matched_path,file_exists,reconciliation_type
OP01-011,752,base,OP01/base/thumbs/OP01-011.webp,OP01\base\OP01-011.webp [THUMBS_REMOVED_SAME_EXT] -> MISSING | OP01\base\OP01-011.png [THUMBS_TO_BASE_FIX] -> EXISTS | OP01\base\thumbs\OP01-011.png [EXTENSION_FIX] -> MISSING | OP01\base\OP01-011.jpg [THUMBS_TO_BASE_JPG] -> MISSING | OP01/base/thumbs/OP01-011.webp [PATH_ONLY_FIX] -> MISSING,OP01\base\OP01-011.png,YES,THUMBS_TO_BASE_FIX
OP01-012,754,base,OP01/base/thumbs/OP01-012.webp,OP01\base\OP01-012.webp [THUMBS_REMOVED_SAME_EXT] -> MISSING | OP01\base\OP01-012.png [THUMBS_TO_BASE_FIX] -> EXISTS | OP01\base\thumbs\OP01-012.png [EXTENSION_FIX] -> MISSING | OP01\base\OP01-012.jpg [THUMBS_TO_BASE_JPG] -> MISSING | OP01/base/thumbs/OP01-012.webp [PATH_ONLY_FIX] -> MISSING,OP01\base\OP01-012.png,YES,THUMBS_TO_BASE_FIX
OP01-013,756,base,OP01/base/thumbs/OP01-013.webp,OP01\base\OP01-013.webp [THUMBS_REMOVED_SAME_EXT] -> MISSING | OP01\base\OP01-013.png [THUMBS_TO_BASE_FIX] -> EXISTS | OP01\base\thumbs\OP01-013.png [EXTENSION_FIX] -> MISSING | OP01\base\OP01-013.jpg [THUMBS_TO_BASE_JPG] -> MISSING | OP01/base/thumbs/OP01-013.webp [PATH_ONLY_FIX] -> MISSING,OP01\base\OP01-013.png,YES,THUMBS_TO_BASE_FIX
OP01-014,768,base,OP01/base/thumbs/OP01-014.webp,OP01\base\OP01-014.webp [THUMBS_REMOVED_SAME_EXT] -> MISSING | OP01\base\OP01-014.png [THUMBS_TO_BASE_FIX] -> EXISTS | OP01\base\thumbs\OP01-014.png [EXTENSION_FIX] -> MISSING | OP01\base\OP01-014.jpg [THUMBS_TO_BASE_JPG] -> MISSING | OP01/base/thumbs/OP01-014.webp [PATH_ONLY_FIX] -> MISSING,OP01\base\OP01-014.png,YES,THUMBS_TO_BASE_FIX
OP01-015,773,base,OP01/base/thumbs/OP01-015.webp,OP01\base\OP01-015.webp [THUMBS_REMOVED_SAME_EXT] -> MISSING | OP01\base\OP01-015.png [THUMBS_TO_BASE_FIX] -> EXISTS | OP01\base\thumbs\OP01-015.png [EXTENSION_FIX] -> MISSING | OP01\base\OP01-015.jpg [THUMBS_TO_BASE_JPG] -> MISSING | OP01/base/thumbs/OP01-015.webp [PATH_ONLY_FIX] -> MISSING,OP01\base\OP01-015.png,YES,THUMBS_TO_BASE_FIX
OP01-016,777,base,OP01/base/thumbs/OP01-016.webp,OP01\base\OP01-016.webp [THUMBS_REMOVED_SAME_EXT] -> MISSING | OP01\base\OP01-016.png [THUMBS_TO_BASE_FIX] -> EXISTS | OP01\base\thumbs\OP01-016.png [EXTENSION_FIX] -> MISSING | OP01\base\OP01-016.jpg [THUMBS_TO_BASE_JPG] -> MISSING | OP01/base/thumbs/OP01-016.webp [PATH_ONLY_FIX] -> MISSING,OP01\base\OP01-016.png,YES,THUMBS_TO_BASE_FIX
OP01-017,796,base,OP01/base/thumbs/OP01-017.webp,OP01\base\OP01-017.webp [THUMBS_REMOVED_SAME_EXT] -> MISSING | OP01\base\OP01-017.png [THUMBS_TO_BASE_FIX] -> EXISTS | OP01\base\thumbs\OP01-017.png [EXTENSION_FIX] -> MISSING | OP01\base\OP01-017.jpg [THUMBS_TO_BASE_JPG] -> MISSING | OP01/base/thumbs/OP01-017.webp [PATH_ONLY_FIX] -> MISSING,OP01\base\OP01-017.png,YES,THUMBS_TO_BASE_FIX
OP01-018,805,base,OP01/base/thumbs/OP01-018.webp,OP01\base\OP01-018.webp [THUMBS_REMOVED_SAME_EXT] -> MISSING | OP01\base\OP01-018.png [THUMBS_TO_BASE_FIX] -> EXISTS | OP01\base\thumbs\OP01-018.png [EXTENSION_FIX] -> MISSING | OP01\base\OP01-018.jpg [THUMBS_TO_BASE_JPG] -> MISSING | OP01/base/thumbs/OP01-018.webp [PATH_ONLY_FIX] -> MISSING,OP01\base\OP01-018.png,YES,THUMBS_TO_BASE_FIX
OP01-019,807,base,OP01/base/thumbs/OP01-019.webp,OP01\base\OP01-019.webp [THUMBS_REMOVED_SAME_EXT] -> MISSING | OP01\base\OP01-019.png [THUMBS_TO_BASE_FIX] -> EXISTS | OP01\base\thumbs\OP01-019.png [EXTENSION_FIX] -> MISSING | OP01\base\OP01-019.jpg [THUMBS_TO_BASE_JPG] -> MISSING | OP01/base/thumbs/OP01-019.webp [PATH_ONLY_FIX] -> MISSING,OP01\base\OP01-019.png,YES,THUMBS_TO_BASE_FIX
OP01-020,809,base,OP01/base/thumbs/OP01-020.webp,OP01\base\OP01-020.webp [THUMBS_REMOVED_SAME_EXT] -> MISSING | OP01\base\OP01-020.png [THUMBS_TO_BASE_FIX] -> EXISTS | OP01\base\thumbs\OP01-020.png [EXTENSION_FIX] -> MISSING | OP01\base\OP01-020.jpg [THUMBS_TO_BASE_JPG] -> MISSING | OP01/base/thumbs/OP01-020.webp [PATH_ONLY_FIX] -> MISSING,OP01\base\OP01-020.png,YES,THUMBS_TO_BASE_FIX
