card_code,provenance_folder,derived_full_local_path,official_source_url,fetch_status,bytes_written,failure_reason
OP01-006,PRB01,D:\Miru_Assets\PRB01\parallel\OP01-006_p3.png,https://optcgapi.com/media/static/Card_Images/OP01-006_p3.jpg,FETCHED,212357,
OP01-006,PRB01,D:\Miru_Assets\PRB01\parallel\OP01-006_p5.png,https://optcgapi.com/media/static/Card_Images/OP01-006_p5.jpg,FETCHED,178618,
OP01-006,PRB01,D:\Miru_Assets\PRB01\parallel\OP01-006_p4.png,https://optcgapi.com/media/static/Card_Images/OP01-006_p4.jpg,FETCHED,204313,
OP01-016,PRB01,D:\Miru_Assets\PRB01\parallel\OP01-016_p8.png,https://optcgapi.com/media/static/Card_Images/OP01-016_p8.jpg,FETCHED,226749,
OP01-024,PRB01,D:\Miru_Assets\PRB01\parallel\OP01-024_p3.png,https://optcgapi.com/media/static/Card_Images/OP01-024_p3.jpg,FETCHED,214926,
OP01-029,PRB01,D:\Miru_Assets\PRB01\parallel\OP01-029_p2.png,https://optcgapi.com/media/static/Card_Images/OP01-029_p2.jpg,FETCHED,175915,
OP01-029,PRB01,D:\Miru_Assets\PRB01\parallel\OP01-029_p3.png,https://optcgapi.com/media/static/Card_Images/OP01-029_p3.jpg,FETCHED,160803,
OP01-033,PRB01,D:\Miru_Assets\PRB01\parallel\OP01-033_p3.png,https://optcgapi.com/media/static/Card_Images/OP01-033_p3.jpg,FETCHED,148415,
OP01-033,PRB01,D:\Miru_Assets\PRB01\parallel\OP01-033_p5.png,https://optcgapi.com/media/static/Card_Images/OP01-033_p5_8AI2ZwU.jpg,FETCHED,224633,
OP01-033,PRB01,D:\Miru_Assets\PRB01\parallel\OP01-033_p5.png,https://optcgapi.com/media/static/Card_Images/OP01-033_p5.jpg,SKIPPED_EXISTING,0,
OP01-041,PRB01,D:\Miru_Assets\PRB01\parallel\OP01-041_p7.png,https://optcgapi.com/media/static/Card_Images/OP01-041_p7.jpg,FETCHED,79710,
OP01-041,PRB01,D:\Miru_Assets\PRB01\parallel\OP01-041_p5.png,https://optcgapi.com/media/static/Card_Images/OP01-041_p5_BTppBsS.jpg,FETCHED,195339,
OP01-041,PRB01,D:\Miru_Assets\PRB01\parallel\OP01-041_p5.png,https://optcgapi.com/media/static/Card_Images/OP01-041_p5.jpg,SKIPPED_EXISTING,0,
OP01-047,PRB01,D:\Miru_Assets\PRB01\parallel\OP01-047_p4.png,https://optcgapi.com/media/static/Card_Images/OP01-047_p4.jpg,FETCHED,233918,
OP01-051,PRB01,D:\Miru_Assets\PRB01\parallel\OP01-051_p4.png,https://optcgapi.com/media/static/Card_Images/OP01-051_p4.jpg,FETCHED,189582,
OP01-052,PRB01,D:\Miru_Assets\PRB01\parallel\OP01-052_p4.png,https://optcgapi.com/media/static/Card_Images/OP01-052_p4.jpg,FETCHED,152717,
OP01-052,PRB01,D:\Miru_Assets\PRB01\parallel\OP01-052_p3.png,https://optcgapi.com/media/static/Card_Images/OP01-052_p3.jpg,FETCHED,171761,
OP01-070,PRB01,D:\Miru_Assets\PRB01\parallel\OP01-070_p4.png,https://optcgapi.com/media/static/Card_Images/OP01-070_p4.jpg,FETCHED,202614,
OP01-078,PRB01,D:\Miru_Assets\PRB01\parallel\OP01-078_p4.png,https://optcgapi.com/media/static/Card_Images/OP01-078_p4.png,FETCHED,188687,
OP01-120,PRB01,D:\Miru_Assets\PRB01\parallel\OP01-120_p5.png,https://optcgapi.com/media/static/Card_Images/OP01-120_p5.jpg,FETCHED,194213,
OP01-121,PRB01,D:\Miru_Assets\PRB01\parallel\OP01-121_p4.png,https://optcgapi.com/media/static/Card_Images/OP01-121_p4.jpg,FETCHED,245995,
