card_code,printing_id,variant_key,market_product_id,product_name,image_url,existing_preferred_pid,candidate_status,sub_classification
OP01-025,838,alt,1069,Roronoa Zoro - OP01-025 (Ultra Deck: The Three Captains),https://tcgplayer-cdn.tcgplayer.com/product/527620_200w.jpg,,CANDIDATE_EXISTS,MULTI_MATCH
OP01-025,839,alt,969,Roronoa Zoro - OP01-025 (Treasure Cup),https://tcgplayer-cdn.tcgplayer.com/product/515356_200w.jpg,,CANDIDATE_EXISTS,MULTI_MATCH
OP01-025,839,alt,1069,Roronoa Zoro - OP01-025 (Ultra Deck: The Three Captains),https://tcgplayer-cdn.tcgplayer.com/product/527620_200w.jpg,,CANDIDATE_EXISTS,MULTI_MATCH
OP01-025,843,alt,969,Roronoa Zoro - OP01-025 (Treasure Cup),https://tcgplayer-cdn.tcgplayer.com/product/515356_200w.jpg,,CANDIDATE_EXISTS,MULTI_MATCH
OP01-025,843,alt,1069,Roronoa Zoro - OP01-025 (Ultra Deck: The Three Captains),https://tcgplayer-cdn.tcgplayer.com/product/527620_200w.jpg,,CANDIDATE_EXISTS,MULTI_MATCH
OP01-029,852,alt,,,,,NO_CANDIDATE,NO_CANDIDATE
OP01-031,863,alt,,,,,NO_CANDIDATE,NO_CANDIDATE
OP01-033,869,alt,3379,Izo (OP01-033) (Alternate Art),https://tcgplayer-cdn.tcgplayer.com/product/593285_200w.jpg,,CANDIDATE_EXISTS,CLEAR
OP01-033,870,alt,3379,Izo (OP01-033) (Alternate Art),https://tcgplayer-cdn.tcgplayer.com/product/593285_200w.jpg,,CANDIDATE_EXISTS,CLEAR
OP01-033,876,alt,3379,Izo (OP01-033) (Alternate Art),https://tcgplayer-cdn.tcgplayer.com/product/593285_200w.jpg,,CANDIDATE_EXISTS,CLEAR
OP01-034,880,alt,,,,,NO_CANDIDATE,NO_CANDIDATE
OP01-035,884,alt,,,,,NO_CANDIDATE,NO_CANDIDATE
OP01-035,885,alt,,,,,NO_CANDIDATE,NO_CANDIDATE
OP01-039,898,alt,,,,,NO_CANDIDATE,NO_CANDIDATE
OP01-040,903,alt,,,,,NO_CANDIDATE,NO_CANDIDATE
OP01-041,907,alt,,,,,NO_CANDIDATE,NO_CANDIDATE
OP01-041,912,alt,,,,,NO_CANDIDATE,NO_CANDIDATE
OP01-041,914,alt,,,,,NO_CANDIDATE,NO_CANDIDATE
OP01-047,927,alt,3337,Trafalgar Law (OP01-047) (Alternate Art),https://tcgplayer-cdn.tcgplayer.com/product/586893_200w.jpg,928,CANDIDATE_EXISTS,ALREADY_OWNED
OP01-047,931,alt,3337,Trafalgar Law (OP01-047) (Alternate Art),https://tcgplayer-cdn.tcgplayer.com/product/586893_200w.jpg,928,CANDIDATE_EXISTS,ALREADY_OWNED
OP01-048,936,alt,,,,,NO_CANDIDATE,NO_CANDIDATE
OP01-051,944,alt,3336,"Eustass""Captain""Kid (OP01-051) (Alternate Art)",https://tcgplayer-cdn.tcgplayer.com/product/586892_200w.jpg,945,CANDIDATE_EXISTS,ALREADY_OWNED
OP01-051,948,alt,3336,"Eustass""Captain""Kid (OP01-051) (Alternate Art)",https://tcgplayer-cdn.tcgplayer.com/product/586892_200w.jpg,945,CANDIDATE_EXISTS,ALREADY_OWNED
OP01-052,953,alt,,,,,NO_CANDIDATE,NO_CANDIDATE
OP01-052,954,alt,,,,,NO_CANDIDATE,NO_CANDIDATE
OP01-052,958,alt,,,,,NO_CANDIDATE,NO_CANDIDATE
OP01-057,972,alt,,,,,NO_CANDIDATE,NO_CANDIDATE
OP01-060,980,alt,,,,,NO_CANDIDATE,NO_CANDIDATE
OP01-060,983,alt,,,,,NO_CANDIDATE,NO_CANDIDATE
OP01-061,986,alt,,,,,NO_CANDIDATE,NO_CANDIDATE
OP01-062,990,alt,,,,,NO_CANDIDATE,NO_CANDIDATE
OP01-064,996,alt,,,,,NO_CANDIDATE,NO_CANDIDATE
OP01-067,1004,alt,,,,,NO_CANDIDATE,NO_CANDIDATE
OP01-070,1012,alt,3285,Dracule Mihawk (OP01-070) (Alternate Art),https://tcgplayer-cdn.tcgplayer.com/product/586549_200w.jpg,1014,CANDIDATE_EXISTS,ALREADY_OWNED
OP01-070,1013,alt,3285,Dracule Mihawk (OP01-070) (Alternate Art),https://tcgplayer-cdn.tcgplayer.com/product/586549_200w.jpg,1014,CANDIDATE_EXISTS,ALREADY_OWNED
OP01-070,1017,alt,3285,Dracule Mihawk (OP01-070) (Alternate Art),https://tcgplayer-cdn.tcgplayer.com/product/586549_200w.jpg,1014,CANDIDATE_EXISTS,ALREADY_OWNED
OP01-073,1025,alt,,,,,NO_CANDIDATE,NO_CANDIDATE
OP01-077,1038,alt,,,,,NO_CANDIDATE,NO_CANDIDATE
OP01-077,1039,alt,,,,,NO_CANDIDATE,NO_CANDIDATE
OP01-077,1040,alt,,,,,NO_CANDIDATE,NO_CANDIDATE
OP01-078,1044,alt,3284,Boa Hancock (OP01-078) (Alternate Art),https://tcgplayer-cdn.tcgplayer.com/product/586548_200w.jpg,1045,CANDIDATE_EXISTS,ALREADY_OWNED
OP01-078,1048,alt,3284,Boa Hancock (OP01-078) (Alternate Art),https://tcgplayer-cdn.tcgplayer.com/product/586548_200w.jpg,1045,CANDIDATE_EXISTS,ALREADY_OWNED
OP01-079,1053,alt,,,,,NO_CANDIDATE,NO_CANDIDATE
OP01-091,1079,alt,,,,,NO_CANDIDATE,NO_CANDIDATE
OP01-093,1085,alt,,,,,NO_CANDIDATE,NO_CANDIDATE
OP01-093,1086,alt,,,,,NO_CANDIDATE,NO_CANDIDATE
OP01-094,1090,alt,,,,,NO_CANDIDATE,NO_CANDIDATE
OP01-094,1091,alt,,,,,NO_CANDIDATE,NO_CANDIDATE
OP01-096,1097,alt,,,,,NO_CANDIDATE,NO_CANDIDATE
OP01-101,1110,alt,,,,,NO_CANDIDATE,NO_CANDIDATE
OP01-102,1114,alt,,,,,NO_CANDIDATE,NO_CANDIDATE
OP01-108,1128,alt,,,,,NO_CANDIDATE,NO_CANDIDATE
OP01-109,1131,alt,,,,,NO_CANDIDATE,NO_CANDIDATE
OP01-114,1143,alt,,,,,NO_CANDIDATE,NO_CANDIDATE
OP01-120,1156,alt,3268,Shanks (OP01-120) (Alternate Art),https://tcgplayer-cdn.tcgplayer.com/product/586194_200w.jpg,1157,CANDIDATE_EXISTS,ALREADY_OWNED
