id,printing_id,market_product_id,mapping_confidence,mapping_method,is_preferred
4552,461,5345,HIGH,exact_code_plus_base_flag,1
4500,467,5293,HIGH,exact_code_plus_base_flag,1
4502,471,5295,HIGH,exact_code_plus_base_flag,1
4553,471,5346,HIGH,exact_code_plus_base_flag,1
4508,485,5301,HIGH,exact_code_plus_base_flag,1
4554,485,5347,HIGH,exact_code_plus_base_flag,1
4512,495,5305,HIGH,exact_code_plus_base_flag,1
4520,511,5313,HIGH,exact_code_plus_base_flag,1
4522,515,5315,HIGH,exact_code_plus_base_flag,1
4555,515,5348,HIGH,exact_code_plus_base_flag,1
4526,525,5319,HIGH,exact_code_plus_base_flag,1
4556,525,5349,HIGH,exact_code_plus_base_flag,1
4535,545,5328,HIGH,exact_code_plus_base_flag,1
4557,545,5350,HIGH,exact_code_plus_base_flag,1
4538,553,5331,HIGH,exact_code_plus_base_flag,1
4558,553,5351,HIGH,exact_code_plus_base_flag,1
4541,561,5334,HIGH,exact_code_plus_base_flag,1
4546,571,5339,HIGH,exact_code_plus_base_flag,1
4547,571,5340,HIGH,exact_code_plus_base_flag,1
4549,577,5342,HIGH,exact_code_plus_base_flag,1
4309,597,5091,HIGH,exact_code_plus_base_flag,1
4311,601,5093,HIGH,exact_code_plus_base_flag,1
4275,613,5053,HIGH,exact_code_plus_base_flag,1
4278,623,5056,HIGH,exact_code_plus_base_flag,1
4313,632,5095,HIGH,exact_code_plus_base_flag,1
4280,646,5058,HIGH,exact_code_plus_base_flag,1
4314,658,5096,HIGH,exact_code_plus_base_flag,1
4317,664,5099,HIGH,exact_code_plus_base_flag,1
4454,668,5236,HIGH,exact_code_plus_base_flag,1
487,704,814,HIGH,exact_code_plus_base_flag,1
4622,704,328,HIGH,exact_code_plus_base_flag,1
4623,710,329,HIGH,exact_code_plus_base_flag,1
4604,714,310,HIGH,exact_code_plus_base_flag,1
412,718,717,HIGH,exact_code_plus_base_flag,1
506,718,839,HIGH,exact_code_plus_base_flag,1
541,718,877,HIGH,exact_code_plus_base_flag,1
542,718,878,HIGH,exact_code_plus_base_flag,1
859,718,1236,HIGH,exact_code_plus_base_flag,1
508,723,841,HIGH,exact_code_plus_base_flag,1
543,723,880,HIGH,exact_code_plus_base_flag,1
662,723,1009,HIGH,exact_code_plus_base_flag,1
879,723,1258,HIGH,exact_code_plus_base_flag,1
515,731,848,HIGH,exact_code_plus_base_flag,1
575,731,913,HIGH,exact_code_plus_base_flag,1
576,731,914,HIGH,exact_code_plus_base_flag,1
591,731,929,HIGH,exact_code_plus_base_flag,1
609,731,948,HIGH,exact_code_plus_base_flag,1
610,731,949,HIGH,exact_code_plus_base_flag,1
611,731,950,HIGH,exact_code_plus_base_flag,1
733,731,1085,HIGH,exact_code_plus_base_flag,1
2668,731,3261,HIGH,exact_code_plus_base_flag,1
2754,731,3376,HIGH,exact_code_plus_base_flag,1
2877,731,3529,HIGH,exact_code_plus_base_flag,1
2881,731,3533,HIGH,exact_code_plus_base_flag,1
4605,744,311,HIGH,exact_code_plus_base_flag,1
488,756,815,HIGH,exact_code_plus_base_flag,1
507,756,840,HIGH,exact_code_plus_base_flag,1
663,756,1010,HIGH,exact_code_plus_base_flag,1
860,756,1237,HIGH,exact_code_plus_base_flag,1
4635,756,341,HIGH,exact_code_plus_base_flag,1
544,768,881,HIGH,exact_code_plus_base_flag,1
966,773,1360,HIGH,exact_code_plus_base_flag,1
977,773,1372,HIGH,exact_code_plus_base_flag,1
984,773,1379,HIGH,exact_code_plus_base_flag,1
985,773,1380,HIGH,exact_code_plus_base_flag,1
995,773,1390,HIGH,exact_code_plus_base_flag,1
996,773,1391,HIGH,exact_code_plus_base_flag,1
490,777,817,HIGH,exact_code_plus_base_flag,1
656,777,1003,HIGH,exact_code_plus_base_flag,1
716,777,1068,HIGH,exact_code_plus_base_flag,1
861,777,1238,HIGH,exact_code_plus_base_flag,1
1870,777,2387,HIGH,exact_code_plus_base_flag,1
2753,777,3375,HIGH,exact_code_plus_base_flag,1
4639,777,345,HIGH,exact_code_plus_base_flag,1
527,796,861,HIGH,exact_code_plus_base_flag,1
545,796,882,HIGH,exact_code_plus_base_flag,1
866,796,1243,HIGH,exact_code_plus_base_flag,1
463,811,781,HIGH,exact_code_plus_base_flag,1
464,811,782,HIGH,exact_code_plus_base_flag,1
546,811,883,HIGH,exact_code_plus_base_flag,1
661,811,1008,HIGH,exact_code_plus_base_flag,1
678,811,1026,HIGH,exact_code_plus_base_flag,1
494,821,821,HIGH,exact_code_plus_base_flag,1
2661,827,3253,HIGH,exact_code_plus_base_flag,1
4607,827,313,HIGH,exact_code_plus_base_flag,1
629,834,969,HIGH,exact_code_plus_base_flag,1
717,834,1069,HIGH,exact_code_plus_base_flag,1
863,834,1240,HIGH,exact_code_plus_base_flag,1
4609,834,315,HIGH,exact_code_plus_base_flag,1
831,850,1200,HIGH,exact_code_plus_base_flag,1
2755,850,3377,HIGH,exact_code_plus_base_flag,1
2855,850,3507,HIGH,exact_code_plus_base_flag,1
1049,857,1457,HIGH,exact_code_plus_base_flag,1
4652,861,358,HIGH,exact_code_plus_base_flag,1
465,867,783,HIGH,exact_code_plus_base_flag,1
466,867,784,HIGH,exact_code_plus_base_flag,1
679,867,1027,HIGH,exact_code_plus_base_flag,1
883,867,1262,HIGH,exact_code_plus_base_flag,1
2691,867,3296,HIGH,exact_code_plus_base_flag,1
2756,867,3378,HIGH,exact_code_plus_base_flag,1
2757,867,3379,HIGH,exact_code_plus_base_flag,1
