card_code,printing_id,variant_key,is_base,is_sp,is_tr,is_alt,is_manga_rare,is_golden_manga_rare,is_illustration_rare,is_promo,expected_path,discovery_status
OP01-001,709,parallel_2,0,0,0,0,0,0,0,0,OP01/parallel/OP01-001_p2.png,FETCH_NEEDED
OP01-001,706,promo,0,0,0,0,0,0,0,1,P/base/OP01-001.png,FETCH_NEEDED
OP01-002,712,alt,0,0,0,1,0,0,0,0,OP01/alt/OP01-002_alt.png,FETCH_NEEDED
OP01-003,716,alt,0,0,0,1,0,0,0,0,OP01/alt/OP01-003_alt.png,FETCH_NEEDED
OP01-004,721,alt,0,0,0,1,0,0,0,0,OP01/alt/OP01-004_alt.png,FETCH_NEEDED
OP01-004,722,parallel_1,0,0,0,0,0,0,0,0,OP01/parallel/OP01-004_p1.png,FETCH_NEEDED
OP01-004,720,promo,0,0,0,1,0,0,0,0,OP01/alt/OP01-004_alt.png,FETCH_NEEDED
OP01-005,725,alt,0,0,0,1,0,0,0,0,OP01/alt/OP01-005_alt.png,FETCH_NEEDED
OP01-005,726,alt,0,0,0,1,0,0,0,0,OP01/alt/OP01-005_alt.png,FETCH_NEEDED
OP01-005,729,parallel_1,0,0,0,0,0,0,0,0,OP01/parallel/OP01-005_p1.png,FETCH_NEEDED
OP01-005,730,parallel_2,0,0,0,0,0,0,0,0,OP01/parallel/OP01-005_p2.png,FETCH_NEEDED
OP01-005,727,promo,0,0,0,0,0,0,0,1,P/base/OP01-005.png,FETCH_NEEDED
OP01-005,728,promo,0,0,0,0,0,0,0,1,P/base/OP01-005.png,FETCH_NEEDED
OP01-006,733,alt,0,0,0,1,0,0,0,0,OP01/alt/OP01-006_alt.png,FETCH_NEEDED
OP01-006,734,alt,0,0,0,1,0,0,0,0,OP01/alt/OP01-006_alt.png,FETCH_NEEDED
OP01-006,739,alt,0,0,0,1,0,0,0,0,OP01/alt/OP01-006_alt.png,FETCH_NEEDED
OP01-006,740,alt,0,0,0,1,0,0,0,0,OP01/alt/OP01-006_alt.png,FETCH_NEEDED
OP01-006,735,parallel_1,0,0,0,0,0,0,0,0,OP01/parallel/OP01-006_p1.png,FETCH_NEEDED
OP01-006,736,parallel_3,0,0,0,0,0,0,0,0,OP01/parallel/OP01-006_p3.png,FETCH_NEEDED
OP01-006,737,parallel_4,0,0,0,0,0,0,0,0,OP01/parallel/OP01-006_p4.png,FETCH_NEEDED
OP01-006,738,parallel_5,0,0,0,0,0,0,0,0,OP01/parallel/OP01-006_p5.png,FETCH_NEEDED
OP01-006,741,r1,1,0,0,0,0,0,0,0,OP01/base/OP01-006.png,DISK_MATCH_FOUND
OP01-008,746,alt,0,0,0,1,0,0,0,0,OP01/alt/OP01-008_alt.png,FETCH_NEEDED
OP01-008,747,parallel_1,0,0,0,0,0,0,0,0,OP01/parallel/OP01-008_p1.png,FETCH_NEEDED
OP01-013,760,alt,0,0,0,1,0,0,0,0,OP01/alt/OP01-013_alt.png,FETCH_NEEDED
OP01-013,761,alt,0,0,0,1,0,0,0,0,OP01/alt/OP01-013_alt.png,FETCH_NEEDED
OP01-013,762,alt,0,0,0,1,0,0,0,0,OP01/alt/OP01-013_alt.png,FETCH_NEEDED
OP01-013,764,parallel_2,0,0,0,0,0,0,0,0,OP01/parallel/OP01-013_p2.png,FETCH_NEEDED
OP01-013,765,parallel_3,0,0,0,0,0,0,0,0,OP01/parallel/OP01-013_p3.png,FETCH_NEEDED
OP01-013,766,parallel_4,0,0,0,0,0,0,0,0,OP01/parallel/OP01-013_p4.png,FETCH_NEEDED
OP01-013,758,promo,0,0,0,1,0,0,0,0,OP01/alt/OP01-013_alt.png,FETCH_NEEDED
