card_code,printing_id,variant_key,mapped_product_id,market_price,mid_price,low_price,image_path,mapping_confidence,release_set_code,certification_status,failure_reason
OP01-022,821,base,351,0.29,0.3,0.1,OP01/base/OP01-022.png,HIGH,OP01,CERTIFIED,
OP01-022,824,parallel_1,,,,,PCC25/parallel/OP01-022_p1.png,,OP01,MISSING_IMAGE_ASSET,No image_assets row for printing_id
OP01-022,823,promo,821,9.97,13.99,9.0,P/base/OP01-022.png,HIGH,OP01,CERTIFIED,
OP01-023,825,base,352,0.08,0.15,0.01,OP01/base/OP01-023.png,HIGH,OP01,CERTIFIED,
OP01-024,829,alt,,,,,thumbs/OP01-024 (alt).webp,,OP01,MISSING_IMAGE_ASSET,No image_assets row for printing_id
OP01-024,832,alt,,,,,thumbs/OP01-024(PRB01alt).webp,,OP01,MISSING_IMAGE_ASSET,No image_assets row for printing_id
OP01-024,827,base,312,2.17,3.0,1.0,OP01/base/OP01-024.png,HIGH,OP01,CERTIFIED,
OP01-024,830,parallel_1,3253,26.87,40.0,23.99,OP01/parallel/OP01-024_p1.png,HIGH,OP01,CERTIFIED,
OP01-024,831,parallel_3,,,,,PRB01/parallel/OP01-024_p3.png,,PRB01,MISSING_IMAGE_ASSET,No image_assets row for printing_id
OP01-024,833,r1,312,2.17,3.0,1.0,OP01/base/OP01-024.png,reprint_share,PRB01,CERTIFIED,
OP01-025,837,alt,,,,,thumbs/OP01-025(alt).webp,,OP01,MISSING_IMAGE_ASSET,No image_assets row for printing_id
OP01-025,838,alt,,,,,thumbs/OP01-025alt2.webp,,OP01,MISSING_IMAGE_ASSET,No image_assets row for printing_id
OP01-025,839,alt,,,,,thumbs/OP01-025(alt-st10).webp,,OP01,MISSING_IMAGE_ASSET,No image_assets row for printing_id
OP01-025,843,alt,,,,,thumbs/OP01-025 Winner_Alt.webp,,OP01,MISSING_IMAGE_ASSET,No image_assets row for printing_id
OP01-025,834,base,314,6.03,6.99,4.49,OP01/base/OP01-025.png,HIGH,OP01,CERTIFIED,
OP01-025,840,parallel_1,,,,,OP01/parallel/OP01-025_p1.png,,OP01,MISSING_PRICE_BRIDGE,No printing_market_map row (is_preferred=1)
OP01-025,841,parallel_2,,,,,OP01/parallel/OP01-025_p2.png,,ST10,MISSING_IMAGE_ASSET,No image_assets row for printing_id
OP01-025,842,parallel_3,,,,,ANN1EN/parallel/OP01-025_p3.png,,OP01,MISSING_IMAGE_ASSET,No image_assets row for printing_id
OP01-025,836,promo,,,,,P/base/OP01-025.png,,OP01,MISSING_PRICE_BRIDGE,No printing_market_map row (is_preferred=1)
OP01-026,844,base,353,0.83,1.25,0.7,OP01/base/OP01-026.png,HIGH,OP01,CERTIFIED,
OP01-027,846,base,354,0.83,1.04,0.16,OP01/base/OP01-027.png,HIGH,OP01,CERTIFIED,
OP01-028,848,base,355,0.08,0.15,0.01,OP01/base/OP01-028.png,HIGH,OP01,CERTIFIED,
OP01-029,852,alt,,,,,thumbs/OP01-029alt.webp,,OP01,MISSING_IMAGE_ASSET,No image_assets row for printing_id
OP01-029,850,base,356,0.45,0.48,0.15,OP01/base/OP01-029.png,HIGH,OP01,CERTIFIED,
OP01-029,853,parallel_2,,,,,PRB01/parallel/OP01-029_p2.png,,PRB01,MISSING_IMAGE_ASSET,No image_assets row for printing_id
OP01-029,854,parallel_3,,,,,PRB01/parallel/OP01-029_p3.png,,PRB01,MISSING_IMAGE_ASSET,No image_assets row for printing_id
OP01-029,855,parallel_4,,,,,BCV1/parallel/OP01-029_p4.png,,OP01,MISSING_IMAGE_ASSET,No image_assets row for printing_id
OP01-029,856,r1,356,0.45,0.48,0.15,OP01/base/OP01-029.png,reprint_share,PRB01,CERTIFIED,
OP01-030,857,base,316,1.58,1.99,0.2,OP01/base/OP01-030.png,HIGH,OP01,CERTIFIED,
OP01-030,860,parallel_1,,,,,ANN2JP/parallel/OP01-030_p1.png,,OP01,MISSING_IMAGE_ASSET,No image_assets row for printing_id
OP01-030,859,promo,,,,,P/base/OP01-030.png,,OP01,MISSING_PRICE_BRIDGE,No printing_market_map row (is_preferred=1)
OP01-031,863,alt,,,,,thumbs/OP01-031 (Alt).webp,,OP01,MISSING_IMAGE_ASSET,No image_assets row for printing_id
