card_id,card_image_id,set_name,set_id,inferred_treatment,local_variant_match_id,card_image_url,proposed_set_folder,proposed_subfolder,proposed_filename,proposed_relative_path,proposed_absolute_path,existing_file_on_disk,existing_file_size_bytes,existing_image_assets_row,registration_readiness,notes
OP01-006,OP01-006_p3,Premium Booster -The Best-,PRB-01,parallel,736,https://optcgapi.com/media/static/Card_Images/OP01-006_p3.jpg,PRB01,parallel,OP01-006_p3.png,PRB01/parallel/OP01-006_p3.png,D:\Miru_Assets\PRB01\parallel\OP01-006_p3.png,no,,no,FETCH_OR_MIRROR_NEEDED,
OP01-006,OP01-006_p5,Premium Booster -The Best-,PRB-01,parallel,738,https://optcgapi.com/media/static/Card_Images/OP01-006_p5.jpg,PRB01,parallel,OP01-006_p5.png,PRB01/parallel/OP01-006_p5.png,D:\Miru_Assets\PRB01\parallel\OP01-006_p5.png,no,,no,FETCH_OR_MIRROR_NEEDED,
OP01-006,OP01-006_p4,Premium Booster -The Best-,PRB-01,parallel,737,https://optcgapi.com/media/static/Card_Images/OP01-006_p4.jpg,PRB01,parallel,OP01-006_p4.png,PRB01/parallel/OP01-006_p4.png,D:\Miru_Assets\PRB01\parallel\OP01-006_p4.png,no,,no,FETCH_OR_MIRROR_NEEDED,
OP01-008,OP01-008_p1,Romance Dawn,OP-01,parallel,747,https://optcgapi.com/media/static/Card_Images/OP01-008_p1.jpg,OP01,parallel,OP01-008_p1.png,OP01/parallel/OP01-008_p1.png,D:\Miru_Assets\OP01\parallel\OP01-008_p1.png,no,,no,FETCH_OR_MIRROR_NEEDED,nearby_files: OP01/base/OP01-008.png
OP01-016,OP01-016_p2,Awakening of the New Era,OP-05,parallel,789,https://optcgapi.com/media/static/Card_Images/OP01-016_p2.jpg,OP05,parallel,OP01-016_p2.png,OP05/parallel/OP01-016_p2.png,D:\Miru_Assets\OP05\parallel\OP01-016_p2.png,no,,no,FETCH_OR_MIRROR_NEEDED,
OP01-016,OP01-016_p8,Premium Booster -The Best-,PRB-01,parallel,794,https://optcgapi.com/media/static/Card_Images/OP01-016_p8.jpg,PRB01,parallel,OP01-016_p8.png,PRB01/parallel/OP01-016_p8.png,D:\Miru_Assets\PRB01\parallel\OP01-016_p8.png,no,,no,FETCH_OR_MIRROR_NEEDED,
OP01-024,OP01-024_p3,Premium Booster -The Best-,PRB-01,parallel,831,https://optcgapi.com/media/static/Card_Images/OP01-024_p3.jpg,PRB01,parallel,OP01-024_p3.png,PRB01/parallel/OP01-024_p3.png,D:\Miru_Assets\PRB01\parallel\OP01-024_p3.png,no,,no,FETCH_OR_MIRROR_NEEDED,
OP01-029,OP01-029_p2,Premium Booster -The Best-,PRB-01,parallel,853,https://optcgapi.com/media/static/Card_Images/OP01-029_p2.jpg,PRB01,parallel,OP01-029_p2.png,PRB01/parallel/OP01-029_p2.png,D:\Miru_Assets\PRB01\parallel\OP01-029_p2.png,no,,no,FETCH_OR_MIRROR_NEEDED,
OP01-029,OP01-029_p3,Premium Booster -The Best-,PRB-01,parallel,854,https://optcgapi.com/media/static/Card_Images/OP01-029_p3.jpg,PRB01,parallel,OP01-029_p3.png,PRB01/parallel/OP01-029_p3.png,D:\Miru_Assets\PRB01\parallel\OP01-029_p3.png,no,,no,FETCH_OR_MIRROR_NEEDED,
OP01-033,OP01-033_p3,Premium Booster -The Best-,PRB-01,parallel,872,https://optcgapi.com/media/static/Card_Images/OP01-033_p3.jpg,PRB01,parallel,OP01-033_p3.png,PRB01/parallel/OP01-033_p3.png,D:\Miru_Assets\PRB01\parallel\OP01-033_p3.png,no,,no,FETCH_OR_MIRROR_NEEDED,
