id	print_id	variant_key	is_base
704	OP01-001	base	1
705	OP01-001::base	base	1
710	OP01-002	base	1
711	OP01-002::base	base	1
714	OP01-003	base	1
715	OP01-003::base	base	1
718	OP01-004	base	1
719	OP01-004::base	base	1
723	OP01-005	base	1
724	OP01-005::base	base	1
731	OP01-006	base	1
732	OP01-006::base	base	1
742	OP01-007	base	1
743	OP01-007::base	base	1
744	OP01-008	base	1
745	OP01-008::base	base	1
748	OP01-009	base	1
749	OP01-009::base	base	1
750	OP01-010	base	1
751	OP01-010::base	base	1
