 * Tip: There are .env files present. Install python-dotenv to use them.
WARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:18765
 * Running on http://192.168.50.91:18765
Press CTRL+C to quit
100.88.228.28 - - [31/Mar/2026 20:53:38] "GET /images/cards/ST1520RE/parallel/OP02-022_p1.png HTTP/1.1" 404 -
100.88.228.28 - - [31/Mar/2026 20:53:38] "GET /images/cards/ST15/reprint/OP02-023_r1.png HTTP/1.1" 404 -
100.88.228.28 - - [31/Mar/2026 20:53:38] "GET /images/cards/OP07/parallel/OP03-003_p1.png HTTP/1.1" 404 -
100.88.228.28 - - [31/Mar/2026 20:53:38] "GET /images/cards/ST15/reprint/OP03-007_r1.png HTTP/1.1" 404 -
100.88.228.28 - - [31/Mar/2026 20:53:38] "GET /images/cards/OP03/sp/OP03-008_sp.png HTTP/1.1" 404 -
100.88.228.28 - - [31/Mar/2026 20:53:38] "GET /images/cards/ST15/reprint/OP03-009_r1.png HTTP/1.1" 404 -
100.88.228.28 - - [31/Mar/2026 20:53:38] "GET /images/cards/ST15/reprint/OP03-010_r1.png HTTP/1.1" 404 -
100.88.228.28 - - [31/Mar/2026 20:53:38] "GET /images/cards/OP03/parallel/OP03-013_p1.png HTTP/1.1" 404 -
100.88.228.28 - - [31/Mar/2026 20:53:38] "GET /images/cards/OP03/parallel/OP03-018_p1.png HTTP/1.1" 404 -
100.88.228.28 - - [31/Mar/2026 20:53:38] "GET /images/cards/OP10/parallel/OP10-005_p1.png HTTP/1.1" 404 -
100.88.228.28 - - [31/Mar/2026 20:53:38] "GET /images/cards/PRB02/parallel/OP10-011_p1.png HTTP/1.1" 404 -
100.88.228.28 - - [31/Mar/2026 20:53:38] "GET /images/cards/OP10/parallel/OP10-022_p1.png HTTP/1.1" 404 -
100.88.228.28 - - [31/Mar/2026 20:53:38] "GET /images/cards/OP10/parallel/OP10-016_p1.png HTTP/1.1" 404 -
100.88.228.28 - - [31/Mar/2026 20:53:38] "GET /images/cards/CS2526TP1/parallel/OP10-033_p1.png HTTP/1.1" 404 -
100.88.228.28 - - [31/Mar/2026 20:53:38] "GET /images/cards/OP10/parallel/OP10-032_p1.png HTTP/1.1" 404 -
100.88.228.28 - - [31/Mar/2026 20:53:41] "GET /dev/image-review HTTP/1.1" 200 -
100.88.228.28 - - [31/Mar/2026 20:53:41] "GET /img/EB01/parallel/EB01-006_p1.png HTTP/1.1" 304 -
100.88.228.28 - - [31/Mar/2026 20:53:41] "GET /img/_unclassified/parallel/EB01-043_p6.png HTTP/1.1" 304 -
100.88.228.28 - - [31/Mar/2026 20:53:41] "GET /img/CS2526CP/parallel/EB01-015_p4.png HTTP/1.1" 304 -
100.88.228.28 - - [31/Mar/2026 20:53:41] "GET /img/EB01/parallel/EB01-012_p1.png HTTP/1.1" 304 -
