variant_key	count
base	4776
alt	934
parallel_1	788
r1	331
parallel_2	323
promo	179
parallel_3	156
parallel_4	99
sp	84
parallel_5	39
operator_review	33
r2	31
mr	29
parallel_6	20
tr	10
parallel_7	7
parallel_8	4
ir	1
